,Revenue,Revenue Growth,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,assetTurnover,currentRatio,quickRatio,cashRatio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Net Current Asset Value,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Diluted Growth,Operating Cash Flow growth,Asset Growth,SG&A Expenses Growth,Sector,Class,2018 PRICE VAR [%]
ASRVP,2559530552.647226,0.18624960516128983,1532700419.081143,809113405.9172217,1148513122.5742679,492950394.6103462,427482851.2590517,339680483.3679877,347856641.0809938,1.6685809444444444,1.6412084870848707,123503008.12103581,130783919.19353797,0.8504481208695914,0.2023215687456441,0.22040895710631284,0.04716459401182877,694345593.0376625,508889004.97449696,354950901.18933564,0.20476022603102056,0.0944915638080014,812705932.1578646,1100772522.7916827,3547735340.182033,438379274.87120765,18856638573.14148,5566258509.464586,12719552936.727278,1824304293.0472834,3412545673.3478675,3606748457.0344367,105009872.08669397,517398277.5367459,-91138646.95378238,-580086549.8434863,22651190.37471602,50455861.410834186,404103027.7379799,0.1849794249194281,1.5745762340177085,1.1155597217699187,0.6258225391304153,0.03129538002980626,1.4712034887892376,0.4785912286995513,-0.8368280597014925,14243737161.084755,-7695389178.303924,0.20789297039897048,0.21337782640949543,0.3231317638190949,0.033284151824817414,0.22823409911054693,0.2315951656131479,0.05197880456852792,0.37196270000000003,0.14458343188405798,0.10215001497005988,Financial Services,1,15.130548941046266
ATLC,39575000.0,-0.3598,39575000.0,35821000.0,86825000.0,-47250000.0,-47159000.0,-40781000.0,-40781000.0,-2.93,-2.93,13867972.0,13867972.0,1.0,-1.166,-1.1916,-1.03,-46138000.0,-47159000.0,-40872000.0,-1.1916,-1.0305,70910000.0,70910000.0,418140000.0,3229000.0,425613000.0,164869000.0,461740000.0,-246640000.0,-35939000.0,49132000.0,1021000.0,-26470000.0,-395000.0,-80317000.0,84639000.0,-21983000.0,-26865000.0,0.09298353198797997,2.5361954036235,0.43009904833535,0.43009904833535,-0.8465,0.6491,0.9051,-0.3869,425613000.0,-43600000.0,-0.3598,-2.8185,-2.8241,-5.4374,-4.831416,-4.8429139999999995,0.0042,-1.6785,0.174,0.2382,Financial Services,1,48.571429961624354
ATLO,46686527.0,-0.0166,46686527.0,23375398.0,25404537.0,21281990.0,21281990.0,13697189.0,13697189.0,1.47,1.47,9310913.0,9310913.0,1.0,0.488,0.4558,0.293,22785129.0,21281990.0,13697189.0,0.4558,0.2934,69419503.0,112441456.0,78187403.0,15399146.0,1375059650.0,1190806508.0,1204306508.0,131684961.0,170753142.0,1177806508.0,1503139.0,18846070.0,-571244.0,-16895167.0,-5031421.0,-3080518.0,18274826.0,0.033952364902861,0.065659200277061,0.1014638786304,0.058296207262582,0.0523,1.3759,0.5007,-0.38,1367235972.0,-1126119105.0,-0.0166,-0.0558,-0.0558,-0.1295,-0.1302,-0.1302,0.0,-0.1201,0.0063,0.0154,Financial Services,0,-5.834114292977422
BAF,2559530552.647226,0.18624960516128983,1532700419.081143,809113405.9172217,1148513122.5742679,492950394.6103462,427482851.2590517,339680483.3679877,347856641.0809938,1.6685809444444444,1.6412084870848707,123503008.12103581,130783919.19353797,0.8504481208695914,0.2023215687456441,0.22040895710631284,0.04716459401182877,694345593.0376625,508889004.97449696,354950901.18933564,0.20476022603102056,0.0944915638080014,812705932.1578646,1100772522.7916827,3547735340.182033,438379274.87120765,18856638573.14148,5566258509.464586,12719552936.727278,1824304293.0472834,3412545673.3478675,3606748457.0344367,105009872.08669397,517398277.5367459,-91138646.95378238,-580086549.8434863,22651190.37471602,50455861.410834186,404103027.7379799,0.1849794249194281,1.5745762340177085,1.1155597217699187,0.6258225391304153,0.03129538002980626,1.4712034887892376,0.4785912286995513,-0.8368280597014925,14243737161.084755,-7695389178.303924,0.20789297039897048,0.21337782640949543,0.3231317638190949,0.033284151824817414,0.22823409911054693,0.2315951656131479,0.05197880456852792,0.37196270000000003,0.14458343188405798,0.10215001497005988,Financial Services,0,-6.467810066059594
BANFP,2559530552.647226,0.18624960516128983,1532700419.081143,809113405.9172217,1148513122.5742679,492950394.6103462,427482851.2590517,339680483.3679877,347856641.0809938,1.6685809444444444,1.6412084870848707,123503008.12103581,130783919.19353797,0.8504481208695914,0.2023215687456441,0.22040895710631284,0.04716459401182877,694345593.0376625,508889004.97449696,354950901.18933564,0.20476022603102056,0.0944915638080014,812705932.1578646,1100772522.7916827,3547735340.182033,438379274.87120765,18856638573.14148,5566258509.464586,12719552936.727278,1824304293.0472834,3412545673.3478675,3606748457.0344367,105009872.08669397,517398277.5367459,-91138646.95378238,-580086549.8434863,22651190.37471602,50455861.410834186,404103027.7379799,0.1849794249194281,1.5745762340177085,1.1155597217699187,0.6258225391304153,0.03129538002980626,1.4712034887892376,0.4785912286995513,-0.8368280597014925,14243737161.084755,-7695389178.303924,0.20789297039897048,0.21337782640949543,0.3231317638190949,0.033284151824817414,0.22823409911054693,0.2315951656131479,0.05197880456852792,0.37196270000000003,0.14458343188405798,0.10215001497005988,Financial Services,1,6.85468356222546
BBDO,2559530552.647226,0.18624960516128983,1532700419.081143,809113405.9172217,1148513122.5742679,4435000000.0,427482851.2590517,339680483.3679877,2998500000.0,0.64,0.57,1174421168.7599947,130783919.19353797,0.8504481208695914,0.2023215687456441,0.22040895710631284,0.04716459401182877,694345593.0376625,508889004.97449696,354950901.18933564,0.20476022603102056,0.0944915638080014,812705932.1578646,1100772522.7916827,3547735340.182033,438379274.87120765,103017803499.99924,5566258509.464586,12719552936.727278,15639000000.0,3412545673.3478675,3606748457.0344367,105009872.08669397,517398277.5367459,-593000000.0,-580086549.8434863,-2630933660.0,-670651770.0000001,404103027.7379799,0.1849794249194281,1.5745762340177085,1.1155597217699187,0.6258225391304153,0.03129538002980626,1.4712034887892376,0.4785912286995513,-0.8368280597014925,14243737161.084755,-7695389178.303924,0.20789297039897048,0.21337782640949543,-0.3231,0.0428,0.22823409911054693,0.0364,0.0,0.37196270000000003,0.0085,0.10215001497005988,Financial Services,0,-11.898005559327245
BBF,2559530552.647226,0.18624960516128983,1532700419.081143,809113405.9172217,1148513122.5742679,492950394.6103462,427482851.2590517,339680483.3679877,347856641.0809938,1.6685809444444444,1.6412084870848707,123503008.12103581,130783919.19353797,0.8504481208695914,0.2023215687456441,0.22040895710631284,0.04716459401182877,694345593.0376625,508889004.97449696,354950901.18933564,0.20476022603102056,0.0944915638080014,812705932.1578646,1100772522.7916827,3547735340.182033,438379274.87120765,18856638573.14148,5566258509.464586,12719552936.727278,1824304293.0472834,3412545673.3478675,3606748457.0344367,105009872.08669397,517398277.5367459,-91138646.95378238,-580086549.8434863,22651190.37471602,50455861.410834186,404103027.7379799,0.1849794249194281,1.5745762340177085,1.1155597217699187,0.6258225391304153,0.03129538002980626,1.4712034887892376,0.4785912286995513,-0.8368280597014925,14243737161.084755,-7695389178.303924,0.20789297039897048,0.21337782640949543,0.3231317638190949,0.033284151824817414,0.22823409911054693,0.2315951656131479,0.05197880456852792,0.37196270000000003,0.14458343188405798,0.10215001497005988,Financial Services,0,-9.253442544597664
BBK,2559530552.647226,0.18624960516128983,1532700419.081143,809113405.9172217,1148513122.5742679,492950394.6103462,427482851.2590517,339680483.3679877,347856641.0809938,1.6685809444444444,1.6412084870848707,123503008.12103581,130783919.19353797,0.8504481208695914,0.2023215687456441,0.22040895710631284,0.04716459401182877,694345593.0376625,508889004.97449696,354950901.18933564,0.20476022603102056,0.0944915638080014,812705932.1578646,1100772522.7916827,3547735340.182033,438379274.87120765,18856638573.14148,5566258509.464586,12719552936.727278,1824304293.0472834,3412545673.3478675,3606748457.0344367,105009872.08669397,517398277.5367459,-91138646.95378238,-580086549.8434863,22651190.37471602,50455861.410834186,404103027.7379799,0.1849794249194281,1.5745762340177085,1.1155597217699187,0.6258225391304153,0.03129538002980626,1.4712034887892376,0.4785912286995513,-0.8368280597014925,14243737161.084755,-7695389178.303924,0.20789297039897048,0.21337782640949543,0.3231317638190949,0.033284151824817414,0.22823409911054693,0.2315951656131479,0.05197880456852792,0.37196270000000003,0.14458343188405798,0.10215001497005988,Financial Services,0,-5.706157110015699
BCV,8454000.0,0.107,8441000.0,809113405.9172217,1148513122.5742679,20105000.0,20107000.0,339680483.3679877,347856641.0809938,3.52,3.52,5250000.0,130783919.19353797,0.9985,0.2023215687456441,0.22040895710631284,0.04716459401182877,694345593.0376625,508889004.97449696,354950901.18933564,0.7228839999999992,0.0944915638080014,495511.30999999994,597900.0,3547735340.182033,438379274.87120765,18856638573.14148,5566258509.464586,12719552936.727278,-1929000.0,3412545673.3478675,3606748457.0344367,105009872.08669397,20000000.0,-91138646.95378238,-580086549.8434863,-7000000.0,13000000.0,404103027.7379799,0.1849794249194281,1.5745762340177085,1.1155597217699187,0.6258225391304153,0.03129538002980626,1.4712034887892376,0.4785912286995513,-0.8368280597014925,14243737161.084755,-7695389178.303924,0.107,0.21337782640949543,3.0707,0.033284151824817414,3.0,3.0,0.0135,3.0,0.14458343188405798,0.10215001497005988,Financial Services,0,-4.463863973319795
BFO,2559530552.647226,0.18624960516128983,1532700419.081143,809113405.9172217,1148513122.5742679,492950394.6103462,427482851.2590517,339680483.3679877,347856641.0809938,1.6685809444444444,1.6412084870848707,123503008.12103581,130783919.19353797,0.8504481208695914,0.2023215687456441,0.22040895710631284,0.04716459401182877,694345593.0376625,508889004.97449696,354950901.18933564,0.20476022603102056,0.0944915638080014,812705932.1578646,1100772522.7916827,3547735340.182033,438379274.87120765,18856638573.14148,5566258509.464586,12719552936.727278,1824304293.0472834,3412545673.3478675,3606748457.0344367,105009872.08669397,517398277.5367459,-91138646.95378238,-580086549.8434863,22651190.37471602,50455861.410834186,404103027.7379799,0.1849794249194281,1.5745762340177085,1.1155597217699187,0.6258225391304153,0.03129538002980626,1.4712034887892376,0.4785912286995513,-0.8368280597014925,14243737161.084755,-7695389178.303924,0.20789297039897048,0.21337782640949543,0.3231317638190949,0.033284151824817414,0.22823409911054693,0.2315951656131479,0.05197880456852792,0.37196270000000003,0.14458343188405798,0.10215001497005988,Financial Services,0,-0.7535267883054333
BHV,1955000.0,0.046,1809000.0,809113405.9172217,1148513122.5742679,-92000.0,-92000.0,339680483.3679877,347856641.0809938,-0.06,-0.06,2030904.7799999998,130783919.19353797,0.9253,0.2023215687456441,0.22040895710631284,0.04716459401182877,694345593.0376625,508889004.97449696,354950901.18933564,-0.0471,0.0944915638080014,812705932.1578646,1100772522.7916827,3547735340.182033,438379274.87120765,18856638573.14148,5566258509.464586,12719552936.727278,-605000.0,3412545673.3478675,3606748457.0344367,105009872.08669397,5659480000.0000105,-91138646.95378238,-580086549.8434863,-2630933660.0,0.0,404103027.7379799,0.1849794249194281,1.5745762340177085,1.1155597217699187,0.6258225391304153,0.03129538002980626,1.4712034887892376,0.4785912286995513,-0.8368280597014925,14243737161.084755,-7695389178.303924,0.0475,0.21337782640949543,-1.039,0.033284151824817414,-1.0405,-1.0405,0.0019,-0.0627,0.14458343188405798,0.10215001497005988,Financial Services,0,-5.775001649255173
BJZ,49000000.0,0.18624960516128983,16000000.0,11000000.0,11000000.0,5000000.0,5000000.0,4000000.0,4000000.0,0.07,0.07,56000000.0,56000000.0,0.32653061224490004,0.12244897959184,0.10204081632653,0.081632653061224,6000000.0,5000000.0,4000000.0,0.10204081632653,0.081632653061224,8000000.0,1100772522.7916827,16000000.0,15000000.0,38000000.0,8000000.0,10000000.0,18000000.0,28000000.0,5000000.0,1000000.0,6000000.0,-2000000.0,-1000000.0,-1000000.0,4000000.0,4000000.0,0.1849794249194281,1.5745762340177085,1.1155597217699187,0.6258225391304153,0.03129538002980626,1.4712034887892376,0.4785912286995513,-0.8368280597014925,14243737161.084755,-7695389178.303924,0.20789297039897048,0.21337782640949543,0.3231317638190949,0.033284151824817414,0.22823409911054693,0.2315951656131479,0.05197880456852792,0.37196270000000003,0.14458343188405798,0.10215001497005988,Financial Services,0,-2.0325215859267654
BKJ,25078000.0,0.0737,25078000.0,15784000.0,17831000.0,7247000.0,7247000.0,3574000.0,3574000.0,0.55,0.54,7218687.0,7218687.0,1.0,0.316,0.289,0.14300000000000002,7916000.0,7247000.0,3574000.0,0.289,0.1425,93619000.0,94619000.0,96729000.0,13725000.0,887407000.0,790713000.0,804098000.0,13482000.0,83309000.0,788293000.0,669000.0,6498000.0,-897000.0,-51835000.0,60980000.0,15643000.0,5601000.0,0.028259862723643,0.12233136422444,0.11966288653405,0.1183982051642,0.0324,1.8181,0.6294,-1.3408,887407000.0,-707369000.0,0.0737,0.1813,0.1813,-0.1067,-0.0984,-0.1148,-0.0023,0.0175,0.079,0.0726,Financial Services,0,-23.41176201315487
