,Revenue,Revenue Growth,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,assetTurnover,currentRatio,quickRatio,cashRatio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Net Current Asset Value,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Diluted Growth,Operating Cash Flow growth,Asset Growth,SG&A Expenses Growth,Sector,Class,2018 PRICE VAR [%]
PG,31939080000.0,-0.0037,14873059999.999985,6250910204.081651,9911321994.134869,4664729689.999996,4001838743.1264772,2982688415.366154,2998500000.0,5.8,5.59,1174421168.7599947,1166531399.9999998,0.4983,0.333,0.2898,0.236,6851127871.1704,4590750000.000007,3031702000.000004,0.2827,0.2356,5569000000.0,8451943891.880543,23761468367.346733,19596279989.999966,103017803499.99924,24183000000.0,64050330000.000305,17732896794.972454,24114386718.386272,7024000000.0,2109760000.000002,5659480000.0000105,-2415049693.63707,-4727600000.0,-2630933660.0,-670651770.0000001,3912306999.9999743,0.54032191086823,0.877,0.6531281032770601,0.18434293280371,0.0666,0.8321,0.2867,-1.2,51520000000.0,-38134000000.0,0.0009,0.3067,0.0242,0.4585,0.5263,0.5149,-0.0366,-0.1738,-0.0529,-0.0156,Consumer Defensive,1,4.975150851116607
VIPS,11020603536.8803,0.3525,2462793530.8343,820185157.1947,2056136033.8573,406657496.977,389328143.8936,294687877.8718,294687877.8718,0.5015,0.4819,17838364.873,17768172.4607,0.2235,0.0077,0.0365,0.0041,562256045.9492,401788089.48,286038845.2237,0.0353,0.0267,1545041112.4547,1582220828.2951,3917191354.2926,1006775241.838,5741055018.1378,2910774637.243,3587098548.9722,846838119.7098,2160598397.8235,928849153.567,160467956.4692,148314842.8053,-372474758.162,-307225816.2031,1083709794.4377,923883766.6264,-224159915.3567,1.9196129460635,0.2034,0.98432843823131,0.53080066477359,0.0401,0.5033,0.0744,-2.3212,5159756650.5441,330092805.3204,0.258,0.0244,0.043,0.0048,-0.0089,-0.0074,0.0489,-0.6362,0.5889,0.192,Consumer Defensive,0,-56.31999969482422
KR,31939080000.0,0.0501,14873059999.999985,6250910204.081651,9911321994.134869,3452000000.0,2932000000.0,1975000000.0,1975000000.0,2.08,2.05,938124655.0,942000000.0,0.224,0.05,0.0299,0.017,5794000000.0,3454000000.0,1957000000.0,0.0254,0.0171,322000000.0,322000000.0,10340000000.0,19596279989.999966,36505000000.0,12860000000.0,29795000000.0,15543000000.0,6698000000.0,4790000000.0,2109760000.000002,4272000000.0,-2415049693.63707,-3875000000.0,-352000000.0,45000000.0,573000000.0,2.2706152844586764,0.804,0.15326594090201998,0.025038880248834,0.0619,2.1630000000000003,0.1661,-1.5808,32321000000.0,-19455000000.0,0.0617,-0.0314,-0.0347,-0.0314,-0.0048,-0.0049,-0.0224,-0.1312,0.0769,0.0678,Consumer Defensive,0,-0.9904489187425342
RAD,22927540000.0,0.1039,5064707000.0,4776995000.0,4816124000.0,248583000.0,48491000.0,4053000.0,4053000.0,0.08,0.08,52618361.0,52618361.0,0.2209,0.029,0.0108,0.0,655922000.0,248556000.0,4053000.0,0.0021,0.0002,245410000.0,245410000.0,5065288000.0,1526462000.0,11593752000.0,3005248000.0,10979682000.0,-1854751800.0,614070000.0,1373630000.0,407366000.0,232117000.0,-254149000.0,-464259000.0,353081000.0,120939000.0,-22032000.0,1.9775772329786,1.685,0.6710048555061,0.08166048193027703,0.0008,10.812668999999996,0.2084,-0.6239,9195499000.0,-5914394000.0,0.0146,-0.3803,-0.3299,-0.9755,-0.975,-0.975,0.0192,-0.7713,0.0281,0.0427,Consumer Defensive,0,-66.6666659204426
GIS,15619800000.0,-0.057,5567800000.0,2888800000.0,3069200000.0,2498600000.0,2312700000.0,1657500000.0,1657500000.0,2.82,2.77,576135402.0,576135402.0,0.3565,0.206,0.16699999999999998,0.106,3211400000.0,2607800000.0,1701100000.0,0.1481,0.1061,766100000.0,766100000.0,4061400000.0,3687700000.0,21812600000.0,5330800000.0,16216200000.0,13138900000.0,4327900000.0,1372200000.0,603600000.0,2415200000.0,-680200000.0,-646900000.0,-1747400000.0,2400000.0,1735000000.0,0.7160906998707199,0.762,0.41198319201621,0.14371201320626995,0.0498,1.4571,0.1849,-1.1269,8535000000.0,-12154800000.0,-0.0449,-0.0539,-0.0237,-0.0235,-0.0035,0.0,-0.0229,-0.1263,0.0046,-0.0738,Consumer Defensive,0,-31.28041182968117
PM,31939080000.0,0.042,14873059999.999985,6250910204.081651,6735000000.0,4664729689.999996,4001838743.1264772,2982688415.366154,2998500000.0,3.88,3.88,1174421168.7599947,1166531399.9999998,0.2345,0.155,0.1441,0.077,6851127871.1704,4590750000.000007,3031702000.000004,0.1324,0.0773,5831476602.176539,8447000000.0,21594000000.0,7271000000.0,42968000000.0,15962000000.0,53198000000.0,17732896794.972454,-58694620.0,10715000000.0,875000000.0,5659480000.0000105,-1548000000.0,-3083000000.0,-2630933660.0,938929045.7406827,3912306999.9999743,1.8175851796686,1.3530000000000002,0.7633755168525199,0.5291943365492999,0.0372,1.4767,0.0851,-1.7691,32870000000.0,-31604000000.0,0.0591,0.0593,0.0622,-0.1338,-0.1339,-0.1339,0.0013,0.1034,0.166,0.0522,Consumer Defensive,0,-32.490965685952396
KO,31939080000.0,-0.1541,14873059999.999985,6250910204.081651,9911321994.134869,4664729689.999996,4001838743.1264772,1248000000.0,1248000000.0,0.293,0.29,1174421168.7599947,1166531399.9999998,0.6257,0.252,0.21600000000000005,0.035,6851127871.1704,4590750000.000007,1283000000.0,0.1923,0.0352,5831476602.176539,8451943891.880543,23761468367.346733,8203000000.0,87896000000.0,24183000000.0,64050330000.000305,17732896794.972454,17072000000.0,1943000000.0,1260000000.0,5659480000.0000105,-1571000000.0,-2254000000.0,-2630933660.0,-670651770.0000001,3912306999.9999743,0.40286247383271,1.344,0.8951239243950899,0.56475693167611,0.0064,5.5529,0.3574,-1.2468,71260000000.0,-32374000000.0,-0.1277,-0.1353,-0.1222,-0.8088,-0.8059999999999999,-0.8054,-0.0098,-0.2118,0.0072,-0.1767,Consumer Defensive,1,7.570640532756395
WMT,31939080000.0,0.0078,14873059999.999985,6250910204.081651,9911321994.134869,4664729689.999996,4001838743.1264772,2982688415.366154,2998500000.0,4.4,4.38,1174421168.7599947,1166531399.9999998,0.2565,0.066,0.0457,0.028,6851127871.1704,4590750000.000007,3031702000.000004,0.0408,0.0281,5831476602.176539,6867000000.0,23761468367.346733,19596279989.999966,103017803499.99924,24183000000.0,64050330000.000305,17732896794.972454,24114386718.386272,13809361656.662666,2109760000.000002,5659480000.0000105,-2415049693.63707,-4727600000.0,-2630933660.0,-670651770.0000001,3912306999.9999743,2.2706152844586764,0.862,0.18978603872819,0.10260279703562,0.0659,2.3216,0.2096,-1.0082,71498850000.0,-39746988411.80168,0.0287,-0.0666,-0.0556,-0.0715,-0.0393,-0.0416,-0.0326,0.1496,-0.0038,0.0496,Consumer Defensive,0,-3.2752502280311164
MDLZ,25896000000.0,-0.001,10034000000.0,5938000000.0,6758000000.0,3276000000.0,3494000000.0,2828000000.0,2828000000.0,1.87,1.85,1174421168.7599947,1166531399.9999998,0.3875,0.181,0.1497,0.109,4692000000.0,3876000000.0,2842000000.0,0.1349,0.1092,761000000.0,761000000.0,7520000000.0,8677000000.0,62957000000.0,15793000000.0,36883000000.0,17732896794.972454,24114386718.386272,5408000000.0,816000000.0,2593000000.0,-905000000.0,-301000000.0,-2630933660.0,-670651770.0000001,1688000000.0,0.41132836698064,0.476,0.27144937630596,0.04818590514785,0.0441,0.9169,0.2293,-1.1091,23233000000.0,-29363000000.0,-0.0069,0.3534,0.2872,0.7297,0.7809999999999999,0.7788,-0.0267,-0.0863,0.0231,-0.0929,Consumer Defensive,0,-3.3879000482479693
MO,25576000000.0,-0.0065,11963000000.0,2338000000.0,2370000000.0,4664729689.999996,4001838743.1264772,2982688415.366154,2998500000.0,5.31,5.31,1174421168.7599947,1166531399.9999998,0.4677,0.42,0.4116,0.4,6851127871.1704,4590750000.000007,3031702000.000004,0.3841,0.3997,1253000000.0,1253000000.0,4344000000.0,1914000000.0,43202000000.0,6792000000.0,27784000000.0,17732896794.972454,15377000000.0,5554000000.0,209000000.0,4901000000.0,-199000000.0,-467000000.0,-2630933660.0,-670651770.0000001,3912306999.9999743,0.5920096291838299,0.64,0.20538869257951006,0.18448174322733,0.0751,0.4795,0.0914,-0.9522,25495000000.0,-23440000000.0,0.0338,-0.534,0.095,-0.2821,-0.2706,-0.2706,-0.0159,0.281,-0.0594,-0.1217,Consumer Defensive,0,-26.452183250203014
ABEV,14466717003.9263,0.0329,9017668378.1335,4391211114.4669,4023557837.5113,4664729689.999996,3748504983.3887,2214436726.0646,2214436726.0646,0.141,0.1398,1174421168.7599947,1166531399.9999998,0.6233,0.1229,0.3321,0.0462,5894684385.3821,4590750000.000007,2371035940.8034,0.2591,0.1531,3127302929.6285,3130897009.9668,7465418302.6276,5684778012.685,26231319842.9477,8664602839.0214,11739383871.942,-1854751800.0,13895741467.8345,4094805194.8052,1090939293.2649,5659480000.0000105,-936786469.3446,-928118393.2347,-2630933660.0,584989429.1755,3912306999.9999743,0.55150549383491,0.2603,0.5337051431758401,0.3609285950816501,0.0213,2.7609,0.3035,-0.8587,15335336756.267,-4273965569.3144,0.0151,-0.0557,0.0181,-0.4253,-0.4254,-0.4261,0.0009,0.1245,0.0187,0.0085,Consumer Defensive,0,-38.74638370649407
TAL,1043100000.0,0.6826,520773000.0,389292000.0,386179000.0,134594000.0,150946000.0,116880000.0,116880000.0,0.24,0.22,161765532.0,162548494.0,0.4993,0.189,0.1573,0.112,197652000.0,164091000.0,112490000.0,0.1447,0.1121,472949563.0,702405960.0,871121005.0,154306718.0,1828905951.0,667140343.0,1148041620.0,417835502.0,644244906.0,638620359.0,33561000.0,379019000.0,-70552000.0,-514836000.0,178834000.0,39603000.0,308467000.0,0.57034097320841,1.306,1.0579936476724,0.7089206461015999,0.0167,3.2428,0.3732,-2.1022,1523776458.0,-276920615.0,0.6464,0.1406,0.5825,0.1361,0.1268,0.1,0.0298,0.9224,0.7231,0.6595,Consumer Defensive,0,-11.859927645515196
BRFS,8551525218.9671,-0.0014,1725430383.5699,1410812443.3706,1531893687.7076,193536695.8623,-213033432.889968,-242212000.0,-244339958.88755,-0.37,-0.37,245386060.4047,242693978.5563,0.2018,0.0411,0.078,-0.0106,1160283902.1444,667290848.6862,-244359460.00000003,-0.0437,-0.0348,1854001812.1413,1854001812.1413,5794442766.5358,3681848384.174,13660072485.6539,4492419208.6983,10122530957.4147,30625188.7647,3382754454.8475,2486288130.4742,492993053.4582,854062216.8529,-381636967.6835,-619269102.99,635699184.5364,-104530353.3676,472425249.1694,0.6260234144400101,0.3896,0.6765919969880999,0.41269563814337,-0.0324,-2.8729,0.165,-0.7741,11486227725.7626,-4328088190.8789,-0.1916,-0.495,-0.6741,-5.7853400000000015,-4.831416,-4.8429139999999995,-0.0146,-0.3594,0.0357,-0.0746,Consumer Defensive,0,-50.30621455218526
KHC,26076000000.0,-0.0085,9033000000.0,2976000000.0,2976000000.0,4664729689.999996,4001838743.1264772,2982688415.366154,2998500000.0,8.730385000000002,8.494899999999998,1174421168.7599947,1166531399.9999998,0.3464,0.29600000000000004,0.2567,0.42,6851127871.1704,4590750000.000007,3031702000.000004,0.2093,0.4196,1629000000.0,1629000000.0,7201000000.0,7061000000.0,103017803499.99924,10154000000.0,54016000000.0,8495000000.0,24114386718.386272,2597000000.0,1031000000.0,501000000.0,-1194000000.0,199259749.9999987,-2630933660.0,-670651770.0000001,-372495930.0,0.21713353095960006,0.7090000000000001,0.28589718337601,0.16042938743352,0.1166,0.0458,0.1141,-1.1581,15835000000.0,-39746988411.80168,-0.0124,0.1039,0.0814,2.2029,2.1957,2.205,0.0016,-0.8108,-0.0032,-0.1605,Consumer Defensive,0,-41.69325547864444
NWL,9552000000.0,0.0404,3263000000.0,2705600000.0,2877500000.0,385500000.0,1170400000.0,2748800000.0,2748800000.0,5.65,5.63,490100000.0,486700000.0,0.3416,0.238,0.1716,0.28800000000000003,2275100000.0,1639500000.0,2748800000.0,0.1225,0.2878,485700000.0,485700000.0,10725700000.0,972400000.0,33135500000.0,4907700000.0,18954200000.0,4611200000.0,14144700000.0,3019100000.0,635600000.0,966200000.0,-406200000.0,199259749.9999987,-2195800000.0,-101800000.0,560000000.0,0.28827088771861,2.185,0.48189579640157,0.098966929518919,0.170075,0.3515,0.2832,-0.6391,16062900000.0,-8228500000.0,0.0983,0.6576,0.2932,4.208,3.52,3.504,0.1583,-0.475,-0.0207,0.0364,Consumer Defensive,0,-38.988859428606865
KMB,18348000000.0,0.0033,6587000000.0,3202000000.0,3229000000.0,3358000000.0,3054000000.0,2278000000.0,2278000000.0,6.44,6.4,351757295.0,351757295.0,0.359,0.223,0.1838,0.124,4096000000.0,3372000000.0,2319000000.0,0.1664,0.1242,616000000.0,616000000.0,5211000000.0,7436000000.0,15151000000.0,5858000000.0,14269000000.0,5769000000.0,629000000.0,2071000000.0,724000000.0,2929000000.0,-782000000.0,-851000000.0,-2421000000.0,-307000000.0,2147000000.0,1.2110091743118998,0.89,0.50034141345169,0.10515534312052,0.0541,1.2858,0.1745,-1.0801,13575000000.0,-9058000000.0,-0.0155,-0.0103,-0.0074,0.0517,0.068,0.0684,-0.0166,-0.0938,0.0376,-0.0297,Consumer Defensive,0,-0.7513520627069893
CPB,5837000000.0,-0.2668,2442000000.0,1123000000.0,1011000000.0,1431000000.0,1279000000.0,887000000.0,887000000.0,2.91,2.89,303065427.0,305000000.0,0.4184,0.293,0.2388,0.152,1712000000.0,1394000000.0,887000000.0,0.2191,0.152,319000000.0,319000000.0,1900000000.0,2454000000.0,7726000000.0,2395000000.0,6081000000.0,2385000000.0,1637000000.0,692000000.0,318000000.0,1288000000.0,-338000000.0,-368000000.0,-908000000.0,23000000.0,950000000.0,0.7555009060315799,0.7929999999999999,0.38580375782881,0.13319415448852,0.0551,1.4521,0.1924,-1.0629,4493000000.0,-4181000000.0,-0.166,0.4461,0.4906,0.5755,0.5989,0.5967,-0.0129,-0.1362,-0.0142,-0.213,Consumer Defensive,0,-28.04266064489173
TGT,31939080000.0,-0.0476,14873059999.999985,6250910204.081651,9911321994.134869,4664729689.999996,4001838743.1264772,2734000000.0,2734000000.0,4.73,4.69,561695464.0,577600000.0,0.3006,0.104,0.0714,0.039,6851127871.1704,4590750000.000007,2734000000.0,0.0573,0.0389,2512000000.0,2512000000.0,11990000000.0,19596279989.999966,37431000000.0,12707000000.0,26478000000.0,5884000000.0,10953000000.0,3737000000.0,2109760000.000002,5444000000.0,-1501000000.0,-1473000000.0,-2630933660.0,-670651770.0000001,3912306999.9999743,1.8773476530149,0.944,0.19768631462973,0.19768631462973,0.0738,1.9912,0.2023,-0.6475,37431000000.0,-14488000000.0,-0.0194,-0.0991,-0.0094,-0.187,-0.1159,-0.1168,-0.077762,-0.0863,-0.0703,-0.0305,Consumer Defensive,1,0.9869942713685412
HRL,9167519000.0,-0.0374,2003163000.0,762104000.0,762284000.0,1240879000.0,1278277000.0,846735000.0,846735000.0,1.6,1.57,527828196.0,528363000.0,0.2185,0.155,0.1408,0.092,1421937000.0,1290960000.0,847103000.0,0.1394,0.0924,444122000.0,444122000.0,2026523000.0,1203251000.0,6975908000.0,1058212000.0,2036211000.0,5162571000.0,4935907000.0,415211000.0,130977000.0,1033885000.0,-217532000.0,-587179000.0,-418771000.0,28979000.0,816353000.0,1.3141685641496,1.915,1.0040266033649,0.41969095039557,0.0531,1.221,0.0831,-1.6608,3829081000.0,-9688000.0,-0.0718,-0.0291,-0.0345,-0.0487,-0.0476,-0.0427,-0.0062,-0.0059,0.0951,-0.126,Consumer Defensive,1,20.441642182950368
K,12854000000.0,-0.0086,4699000000.0,3312000000.0,3312000000.0,1387000000.0,1664000000.0,1254000000.0,1254000000.0,3.61,3.58,345472588.0,345472588.0,0.3656,0.187,0.1494,0.098,2401000000.0,1920000000.0,1254000000.0,0.1295,0.0976,281000000.0,281000000.0,3036000000.0,3716000000.0,16351000000.0,4522000000.0,14157000000.0,7069000000.0,2178000000.0,1474000000.0,481000000.0,403000000.0,-501000000.0,149000000.0,-604000000.0,1000000.0,-98000000.0,0.78612928872852,0.6709999999999999,0.3693056169836401,0.062140645731977,0.0531,0.3214,0.2577,-1.0416,7181000000.0,-11121000000.0,-0.0279,0.4328,-0.0647,0.794,0.8141,0.8173,-0.0113,-0.6829,0.0821,-0.0116,Consumer Defensive,0,-13.306269290621204
BUFF,1275000000.0,0.1305959891891889,589000000.0,286000000.0,286000000.0,303000000.0,293000000.0,194000000.0,194000000.0,0.99,0.97,196000000.0,199000000.0,0.46196078431373,0.24705882352941,0.23921568627451004,0.1521568627451,315000000.0,305000000.0,194000000.0,0.22980392156863,0.1521568627451,530432719.26332164,704654612.7710047,2832713379.1977525,1894201456.826596,9747449551.316523,2480979080.776025,6476589584.764296,2211933307.491332,2744039416.6939187,723181908.9473089,11000000.0,194000000.0,-171000000.0,-171000000.0,-33000000.0,-10000000.0,23000000.0,1.192978707267401,2.0521651715393614,1.3599561214575298,0.6960873282143785,-0.007158423913043475,1.3487548054054053,0.35507079999999847,-1.3140913513513512,5871021448.485749,-3781848634.0860333,0.16834321081081086,0.1212013206521738,-0.020660086486486914,-0.021049081081081285,0.03136567391304368,0.025866706521739155,0.05246966304347826,0.16595048648648655,0.17073392432432433,0.13595643243243244,Consumer Defensive,1,22.69939224614768
CAG,7826900000.0,-0.0966,2343800000.0,1474000000.0,1418800000.0,925000000.0,894000000.0,639300000.0,639300000.0,1.48,1.46,425501586.0,425501586.0,0.2995,0.173,0.1392,0.08199999999999999,1357500000.0,1089500000.0,648000000.0,0.1142,0.0817,251400000.0,251400000.0,2013200000.0,1633100000.0,10096300000.0,1720500000.0,6018500000.0,4247000000.0,3990800000.0,720200000.0,268000000.0,1170200000.0,-228900000.0,-184000000.0,-1569100000.0,-583100000.0,941300000.0,0.7752245872250201,1.17,0.4735832606800301,0.14612031386225,0.0384,1.8304,0.1883,-0.8541,4577300000.0,-4005300000.0,-0.0352,4.2542,1.2862,1.9443,1.9427,1.9359,0.0046,-0.0707,-0.246,-0.2639,Consumer Defensive,0,-41.75405929922727
PEP,31939080000.0,0.0116,14873059999.999985,6250910204.081651,9911321994.134869,4664729689.999996,4001838743.1264772,2982688415.366154,2998500000.0,3.4,3.38,1174421168.7599947,1166531399.9999998,0.5467,0.206,0.1685,0.076,6851127871.1704,4590750000.000007,3031702000.000004,0.1504,0.0765,5831476602.176539,8451943891.880543,23761468367.346733,17240000000.0,79804000000.0,20502000000.0,64050330000.000305,17732896794.972454,11045000000.0,0.0,2109760000.000002,5659480000.0000105,-2415049693.63707,-4403000000.0,-2630933660.0,938929045.7406827,3912306999.9999743,0.7960127311914201,1.513,1.2942151985172,0.51751048678178,0.0288,2.0651,0.3849,-1.1773,51222000000.0,-37796000000.0,0.0044,0.087,0.0481,-0.2326,-0.2255,-0.2248,-0.0096,-0.0594,0.0859,-0.0129,Consumer Defensive,0,-3.313237087778952
COST,31939080000.0,0.0868,14873059999.999985,6250910204.081651,9911321994.134869,4111000000.0,4001838743.1264772,2679000000.0,2679000000.0,6.11,6.08,438593340.0,438437000.0,0.1329,0.043,0.0321,0.021,5508000000.0,4138000000.0,2714000000.0,0.031,0.0208,4546000000.0,5779000000.0,17317000000.0,18161000000.0,36347000000.0,17495000000.0,25268000000.0,5988000000.0,10778000000.0,7887000000.0,1370000000.0,5659480000.0000105,-2415049693.63707,-2366000000.0,-2630933660.0,938929045.7406827,3912306999.9999743,2.2706152844586764,0.99,0.41217490711632,0.25984567019148,0.0384,2.5106,0.1004,-1.8263,36347000000.0,-7951000000.0,0.0838,0.1106,0.1196,0.14,0.1399,0.1407,-0.0007,1.0431,0.096,0.0731,Consumer Defensive,1,9.307226016875354
COTY,7650300000.0,0.7591,4622000000.0,4040700000.0,5042900000.0,-149029550.0,-213033432.889968,-242212000.0,-244339958.88755,-0.66,-0.66,747638332.0,642800000.0,0.6042,0.012,-0.0605,-0.055,92000000.0,-157460500.0,-244359460.00000003,-0.0891,-0.0552,570700000.0,570700000.0,3581500000.0,1632100000.0,22548200000.0,3803600000.0,12679400000.0,-459200000.0,9314700000.0,1862400000.0,555100000.0,757500000.0,-432300000.0,-1163600000.0,595200000.0,198300000.0,325200000.0,0.33928650623997,0.942,0.53659690819224,0.15004206541172,-0.0352,-1.7942,0.5282,-0.7788,5567500000.0,-9097900000.0,0.7756,-3.3342,-2.6558,-3.6909,-2.4667,-2.5,0.8148,0.5108,1.8851559999999996,0.9927,Consumer Defensive,0,-65.6603636392467
MNST,3369045000.0,0.1048,2137690000.0,938903000.0,938903000.0,1198787000.0,1201623000.0,820678000.0,820678000.0,1.45,1.42,563963300.0,566782000.0,0.6345,0.371,0.3567,0.244,1250510000.0,1201623000.0,820678000.0,0.3567,0.2436,528622000.0,1201555000.0,2086377000.0,230276000.0,4791012000.0,560351000.0,895800000.0,2928226000.0,3895212000.0,314441000.0,48887000.0,987731000.0,-91712000.0,-531541000.0,-311135000.0,151040000.0,896019000.0,0.70320111909551,3.723,2.9464228670958,0.94337656219048,0.0231,1.2036,0.2787,-1.876,2425284000.0,699828189.9999981,0.1008,0.1129,0.1045,0.1515,0.1983,0.1933,-0.0378,0.4083,0.1535,0.096,Consumer Defensive,0,-21.51171752625608
SJM,7392300000.0,-0.0536,2835300000.0,1379600000.0,1792700000.0,1042600000.0,878400000.0,592300000.0,592300000.0,5.11,5.1,116441146.0,116441146.0,0.3835,0.198,0.1409,0.08,1460500000.0,1041500000.0,592300000.0,0.1188,0.0801,166800000.0,166800000.0,1641800000.0,1617500000.0,15639700000.0,1832600000.0,8789500000.0,1240500000.0,6850200000.0,402400000.0,419000000.0,1059000000.0,-191900000.0,-151300000.0,-806100000.0,57000000.0,867100000.0,0.47266251910203,0.8959999999999999,0.33040488922842,0.09101822547200697,0.0406,1.7879,0.1866,-0.458,3412700000.0,-7147700000.0,-0.0446,-0.0936,-0.0897,-0.14,-0.1144,-0.1146,-0.0252,-0.2752,-0.0215,-0.0865,Consumer Defensive,0,-22.251552417983824
CL,15454000000.0,0.017,9280000000.0,5400000000.0,5573000000.0,3707000000.0,3337000000.0,2024000000.0,2024000000.0,2.3,2.28,878105223.0,878105223.0,0.6005,0.253,0.2225,0.131,3914000000.0,3439000000.0,2174000000.0,0.2159,0.131,1535000000.0,1535000000.0,4639000000.0,4072000000.0,12676000000.0,3408000000.0,12433000000.0,17732896794.972454,-58694620.0,2185000000.0,475000000.0,3054000000.0,-553000000.0,-471000000.0,-2450000000.0,220000000.0,2501000000.0,1.2191543073525,1.361,0.88468309859155,0.45041079812207,0.0306,1.5089,0.3494,-1.1642,9117000000.0,-7794000000.0,0.0172,-0.0685,-0.0627,-0.1708,-0.1606,-0.1618,-0.0111,-0.0277,0.0456,0.05,Consumer Defensive,0,-18.85806011660366
ADM,31939080000.0,-0.0243,3518000000.0,1978000000.0,2151000000.0,1367000000.0,1602000000.0,1595000000.0,1595000000.0,2.8,2.79,559250312.0,569000000.0,0.0578,0.047,0.0318,0.026,2856000000.0,1932000000.0,1602000000.0,0.0263,0.0262,804000000.0,5630000000.0,19925000000.0,10138000000.0,39963000000.0,12570000000.0,21641000000.0,17552000000.0,18322000000.0,2833000000.0,924000000.0,-94761760.0,-1049000000.0,199259749.9999987,-1028000000.0,297000000.0,-372495930.0,1.5221079498536,1.585,0.60278440731901,0.063961813842482,0.0698,-3.7404,0.0325,-1.1353,36045000000.0,-1716000000.0,-0.0276,-0.0826,-0.1359,0.2471,0.2844,0.2917,-0.0321,0.0833,0.0049,-0.0015,Consumer Defensive,1,5.249598942618492
DG,21986598000.0,0.0794,6782638000.0,4719189000.0,4719189000.0,2063449000.0,1965628000.0,1251133000.0,1251133000.0,4.45,4.43,276264260.0,281317000.0,0.3085,0.111,0.0939,0.057,2443380000.0,2063449000.0,1251133000.0,0.0894,0.0569,187915000.0,187915000.0,3677771000.0,2434456000.0,11672298000.0,2622805000.0,6266004000.0,2015867000.0,5406294000.0,564259000.0,379931000.0,1605041000.0,-550936000.0,-550936000.0,-1024137000.0,29968000.0,1054105000.0,1.8836563288566,1.402,0.071646576851882,0.071646576851882,0.0608,1.2829,0.2146,-1.4501,6133050000.0,-2588233000.0,0.0756,0.0637,0.0635,0.0739,0.1237,0.1215,-0.0439,0.1533,0.0368,0.0809,Consumer Defensive,1,16.234765531062788
TAP,11002800000.0,1.2524,4766100000.0,3052000000.0,3088400000.0,1677700000.0,1361000000.0,1565600000.0,1565600000.0,7.27,7.23,197803819.0,215400000.0,0.4332,0.229,0.1554,0.142,2523100000.0,1710300000.0,1587800000.0,0.1237,0.1423,418600000.0,418600000.0,2189700000.0,4673700000.0,30246900000.0,3399300000.0,17059600000.0,6958400000.0,12978400000.0,0.0,812800000.0,1866300000.0,-539100000.0,-538200000.0,-1496400000.0,-168300000.0,1327200000.0,0.36376620413993,0.644,0.38849174830112,0.12314300002942,0.0884,1.1921,0.2774,-0.6633,7544900000.0,-14869900000.0,1.5271,-0.4848,-0.4054,-0.0178,-0.0332,-0.0321,0.0145,0.6561,0.0309,0.9108,Consumer Defensive,0,-31.71205881605033
SYY,31939080000.0,0.0994,10557507000.0,6250910204.081651,8502891000.0,2054616000.0,1766230000.0,1142503000.0,1142503000.0,2.1,2.08,535197556.0,543496816.0,0.1907,0.054000000000000006,0.0374,0.021,2971100000.0,2069108000.0,1142503000.0,0.0319,0.0206,869502000.0,869502000.0,8033438000.0,4377302000.0,17756655000.0,6095886000.0,15375139000.0,9447755000.0,2381516000.0,1590761000.0,901992000.0,2232567000.0,-662663000.0,-3577674000.0,-1682587000.0,-670651770.0000001,1569904000.0,2.2706152844586764,1.318,0.80085077050325,0.14263750995343,0.0416,1.9541,0.1536,-0.7347,12803016000.0,-7341701000.0,0.1678,0.1897,0.1103,0.2031,0.2651,0.2683,-0.05,0.1228,0.0619,0.1826,Consumer Defensive,1,5.883635766822913
NOMD,2348859543.8175,0.1576,719567827.1309,1000000.0,383313325.3301,336254501.8007,202280912.3649,163865546.2185,163865546.2185,0.9364,0.8884,218593783.9136,218593783.9136,0.3063,0.1489,0.1241,0.084,291596638.6555,291596638.6555,163865546.2185,0.0861,0.0698,263145258.1032,263145258.1032,899279711.8848,354621848.7395,5524249699.88,842617046.8187,3300240096.0384,-417286914.7659,2224009603.8415,263265306.1224,0.0,232653061.2245,-45618247.2989,-51140456.1825,-290276110.4442,-108763505.4022,187034813.9256,0.42519069039702,1.2809,0.52799544094593,0.31229519874622,0.0559,1.4198,0.0,0.0,1358583433.3733,-2400960384.1536,0.1972,1.0059,0.1718,3.2767,3.4485,3.2204,-0.0435,-0.2165,0.1144,0.0,Consumer Defensive,0,-0.2386689438011569
